Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Sial_aa_1 Spectral Count	Sial_aa_2 Spectral Count	Sial_aa_3 Spectral Count	rPAL_aa_1 Spectral Count	rPAL_aa_2 Spectral Count	rPAL_aa_3 Spectral Count	Sial_aa_1 Unique Spectral Count	Sial_aa_2 Unique Spectral Count	Sial_aa_3 Unique Spectral Count	rPAL_aa_1 Unique Spectral Count	rPAL_aa_2 Unique Spectral Count	rPAL_aa_3 Unique Spectral Count	Sial_aa_1 Total Spectral Count	Sial_aa_2 Total Spectral Count	Sial_aa_3 Total Spectral Count	rPAL_aa_1 Total Spectral Count	rPAL_aa_2 Total Spectral Count	rPAL_aa_3 Total Spectral Count	Sial_aa_1 Intensity	Sial_aa_2 Intensity	Sial_aa_3 Intensity	rPAL_aa_1 Intensity	rPAL_aa_2 Intensity	rPAL_aa_3 Intensity	Sial_aa_1 MaxLFQ Intensity	Sial_aa_2 MaxLFQ Intensity	Sial_aa_3 MaxLFQ Intensity	rPAL_aa_1 MaxLFQ Intensity	rPAL_aa_2 MaxLFQ Intensity	rPAL_aa_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 85C	0.9577	0.999	1	2	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	26918.486	14772.073	15491.728	26274.328	27313.12	16114.201	26918.486	14772.073	15491.728	26274.328	27313.12	16114.201	
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	0.9996	0.999	4	6	3	6	0	1	1	2	1	1	0	1	0	1	0	1	0	1	1	2	1	1	15408.883	136729.67	364596.88	137191.4	194727.0	412154.28	89569.22	91434.586	165833.6	115485.99	103145.98	307377.8	
sp|A8K2U0|A2ML1_HUMAN	A8K2U0	A2ML1_HUMAN	A2ML1	1454	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin-like protein 1	1.0	0.999	5	13	13	13	5	0	3	1	1	3	5	0	3	1	1	3	5	0	3	1	1	3	166296.8	94659.67	145835.6	123118.516	139420.89	113339.2	73155.87	54601.547	67885.38	63561.99	63483.543	50985.742	
sp|A8MW92|P20L1_HUMAN	A8MW92	P20L1_HUMAN	PHF20L1	1017	Homo sapiens	1:Experimental evidence at protein level	PHD finger protein 20-like protein 1	1.0	0.999	7	23	23	40	2	5	6	4	4	2	2	5	6	4	4	2	7	8	8	7	6	4	105269.73	263642.1	170692.72	251824.17	166489.89	102915.5	62998.406	81648.46	76621.78	78591.76	74132.3	83882.72	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	4	45	0	45	7	6	9	5	9	9	0	0	0	0	0	0	7	6	9	5	9	9	796242.75	725519.5	811978.5	471934.75	449656.72	710349.56	411688.66	405449.44	488029.8	280118.47	257453.16	380647.4	sp|P62308|RUXG_HUMAN
sp|A8MYJ7|TTC34_HUMAN	A8MYJ7	TTC34_HUMAN	TTC34	566	Homo sapiens	1:Experimental evidence at protein level	Tetratricopeptide repeat protein 34	0.9997	0.9989	2	21	21	21	2	3	3	5	4	4	2	3	3	5	4	4	2	3	3	5	4	4	19536.615	73402.375	46334.746	10090.634	54791.36	68560.69	29309.795	20889.469	27151.023	43431.89	50254.277	34545.97	
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0	0.999	45	574	573	574	91	93	88	101	92	109	91	93	88	101	91	109	91	93	88	101	92	109	7983452.5	8263608.5	7358578.0	8974170.0	9889868.0	9040266.0	1307684.8	1279359.6	1120919.9	1357616.4	1382345.8	1420426.5	
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-IXa	1.0	0.999	8	28	28	34	5	3	9	3	4	4	5	3	9	3	4	4	6	4	10	4	5	5	225951.52	276195.03	324470.75	397722.75	283747.75	219698.44	119537.84	141082.19	123365.52	155804.88	114234.766	115207.83	
sp|B5MCY1|TDR15_HUMAN	B5MCY1	TDR15_HUMAN	TDRD15	1934	Homo sapiens	1:Experimental evidence at protein level	Tudor domain-containing protein 15	0.9491	0.9988	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30764.002	39375.5	42894.434	35968.047	50589.156	37598.89	30764.002	39375.5	42894.434	35968.047	50589.156	37598.89	
sp|C9JI98|TM238_HUMAN	C9JI98	TM238_HUMAN	TMEM238	176	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 238	0.8846	0.9971	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	11731.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	4	41	0	41	5	7	6	6	9	8	0	0	0	0	0	0	5	7	6	6	9	8	813367.8	745035.06	896928.0	841812.5	1280635.8	856664.9	416409.56	402434.5	453919.6	384463.22	600057.25	387242.06	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein C11orf98	1.0	0.999	12	272	272	272	41	41	47	42	48	53	41	41	47	42	48	53	41	41	47	42	48	53	8639501.0	9584740.0	9612767.0	8657847.0	1.0180584E7	9715420.0	2606388.0	2519119.5	2623062.2	2433457.5	2457073.2	2666482.2	
sp|G9CGD6|CNIPF_HUMAN	G9CGD6	CNIPF_HUMAN	CNK3/IPCEF1	899	Homo sapiens	1:Experimental evidence at protein level	CNK3/IPCEF1 fusion protein	0.9999	0.999	2	4	0	4	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	2	0	25298.67	32564.0	59315.836	12339.282	57581.246	0.0	39396.426	30567.521	34017.0	11582.769	33534.492	0.0	sp|Q8WWN9|ICEF1_HUMAN
sp|H3BQL2|GOG8T_HUMAN	H3BQL2	GOG8T_HUMAN	GOLGA8T	631	Homo sapiens	3:Protein inferred from homology	Golgin subfamily A member 8T	0.981	0.999	2	3	0	5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	1	1	21820.576	27574.568	0.0	33508.06	61644.855	35662.484	21820.576	27574.568	0.0	33508.06	61644.855	35662.484	
sp|I3L0S3|PYAS1_HUMAN	I3L0S3	PYAS1_HUMAN	PYCARD-AS1	204	Homo sapiens	5:Protein uncertain	Putative uncharacterized protein PYCARD-AS1	0.9001	0.9975	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	27106.035	0.0	0.0	24916.225	0.0	0.0	27106.035	0.0	0.0	24916.225	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	0.9514	0.9988	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	4	16	16	16	3	4	1	2	6	0	3	4	1	2	6	0	3	4	1	2	6	0	40657.98	63751.74	58069.28	61201.305	126080.26	18774.916	24854.264	23846.24	22465.47	22876.924	41628.54	23320.008	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.999	33	426	416	426	66	78	70	74	62	76	64	76	69	72	60	75	66	78	70	74	62	76	4912414.5	6005014.5	5656640.5	5901982.5	5742007.5	6002464.5	464062.38	469516.53	462037.78	478894.06	432977.12	464387.97	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	11	28	28	89	6	3	3	5	6	5	6	3	3	5	6	5	15	14	12	12	19	17	265798.88	228096.7	242835.08	254499.12	375834.88	206776.28	130196.086	116501.99	121573.27	130088.49	189667.97	106915.6	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	0.9577	0.999	1	6	6	6	0	0	0	3	3	0	0	0	0	3	3	0	0	0	0	3	3	0	0.0	23651.434	21266.33	37743.723	57170.305	0.0	0.0	23651.434	21266.33	37743.723	57170.305	0.0	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	19	93	93	93	17	16	11	16	19	14	17	16	11	16	19	14	17	16	11	16	19	14	847133.2	805382.1	711959.44	900605.0	856195.0	749059.25	117292.055	120196.66	107029.39	113211.37	127404.48	109952.14	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0	0.999	4	16	16	16	1	4	1	3	5	2	1	4	1	3	5	2	1	4	1	3	5	2	269966.12	320603.03	43994.75	79104.875	183714.73	60037.0	94399.29	75784.68	85115.6	62843.293	79748.05	63408.734	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	1:Experimental evidence at protein level	HCLS1-associated protein X-1	0.9577	0.999	1	5	5	5	2	1	0	1	1	0	2	1	0	1	1	0	2	1	0	1	1	0	30253.639	40938.066	0.0	47808.832	57202.582	0.0	30253.639	40938.066	0.0	47808.832	57202.582	0.0	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0	0.999	3	20	20	20	6	3	3	2	5	1	6	3	3	2	5	1	6	3	3	2	5	1	85513.73	99771.984	58392.46	74083.54	190748.94	33659.438	42441.277	43089.86	42710.625	35969.977	82286.45	34072.855	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 1	1.0	0.999	22	225	225	225	34	42	39	33	41	36	34	42	39	33	41	36	34	42	39	33	41	36	2063008.8	2520370.5	2462520.8	1983837.4	2092246.6	1909897.8	315669.38	333861.44	337497.88	280388.84	273708.56	260791.22	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	1:Experimental evidence at protein level	Small acidic protein	1.0	0.999	3	16	16	16	2	1	9	2	2	0	2	1	9	2	2	0	2	1	9	2	2	0	55479.65	74499.54	68594.586	69810.61	73823.086	62727.906	35524.758	30062.832	29326.346	31385.094	37118.63	32177.234	
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rab-27B	1.0	0.999	5	23	17	23	1	3	3	4	7	5	1	3	2	2	5	4	1	3	3	4	7	5	71983.37	109652.82	105893.78	130409.05	209297.16	112938.125	34668.652	48107.09	49522.312	50492.508	60456.625	42870.598	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.999	26	149	96	149	24	25	27	22	30	21	14	17	20	14	18	13	24	25	27	22	30	21	1394505.2	1531757.8	1741234.2	1090568.1	1889334.9	1405385.2	210679.06	227366.3	257946.05	215496.62	246092.38	250668.34	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens	1:Experimental evidence at protein level	Galectin-8	0.9551	0.9989	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	34331.465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	0.9999	0.999	2	12	12	12	3	1	3	1	2	2	3	1	3	1	2	2	3	1	3	1	2	2	47557.85	24884.465	49070.445	34622.016	40041.62	33625.58	25367.252	25092.914	25697.314	18352.191	21119.041	17816.525	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.999	10	17	17	17	1	0	1	0	13	2	1	0	1	0	13	2	1	0	1	0	13	2	519887.34	125910.41	320193.34	453160.47	1071628.1	522575.84	187005.64	262864.9	193749.27	219802.44	511146.0	198555.38	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.999	6	10	10	10	1	2	0	0	7	0	1	2	0	0	7	0	1	2	0	0	7	0	48094.6	48457.062	0.0	36908.617	152345.38	40178.617	21976.117	23198.303	0.0	28428.627	35334.56	26155.883	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	0.9999	0.999	2	4	4	4	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	15191.557	27274.102	8847.86	0.0	38869.07	0.0	15191.557	18054.127	8847.86	0.0	25136.229	0.0	
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	610	Homo sapiens	1:Experimental evidence at protein level	Menin	0.9577	0.999	1	10	10	10	1	2	3	2	2	0	1	2	3	2	2	0	1	2	3	2	2	0	26451.42	20763.893	25184.518	17222.104	17299.834	22905.322	26451.42	20763.893	25184.518	17222.104	17299.834	22905.322	
sp|O00257|CBX4_HUMAN	O00257	CBX4_HUMAN	CBX4	560	Homo sapiens	1:Experimental evidence at protein level	E3 SUMO-protein ligase CBX4	1.0	0.999	3	12	12	12	3	3	2	1	2	1	3	3	2	1	2	1	3	3	2	1	2	1	133055.61	118321.234	126350.516	114848.016	89207.25	69702.016	69137.086	65140.98	65460.344	60876.164	43141.27	66598.32	
