Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UL_1 Spectral Count	UL_2 Spectral Count	UL_3 Spectral Count	rGAL_1 Spectral Count	rGAL_2 Spectral Count	rGAL_3 Spectral Count	UL_1 Unique Spectral Count	UL_2 Unique Spectral Count	UL_3 Unique Spectral Count	rGAL_1 Unique Spectral Count	rGAL_2 Unique Spectral Count	rGAL_3 Unique Spectral Count	UL_1 Total Spectral Count	UL_2 Total Spectral Count	UL_3 Total Spectral Count	rGAL_1 Total Spectral Count	rGAL_2 Total Spectral Count	rGAL_3 Total Spectral Count	UL_1 Intensity	UL_2 Intensity	UL_3 Intensity	rGAL_1 Intensity	rGAL_2 Intensity	rGAL_3 Intensity	UL_1 MaxLFQ Intensity	UL_2 MaxLFQ Intensity	UL_3 MaxLFQ Intensity	rGAL_1 MaxLFQ Intensity	rGAL_2 MaxLFQ Intensity	rGAL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens	1:Experimental evidence at protein level	Importin-5	1.0	0.999	1	5	5	5	2	0	1	0	1	1	2	0	1	0	1	1	2	0	1	0	1	1	13855.977	0.0	6973.4736	0.0	0.0	6791.2275	8472.5625	0.0	6973.4736	0.0	0.0	6791.2275	
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-4	0.8895	0.9935	1	6	6	6	1	1	0	1	2	1	1	1	0	1	2	1	1	1	0	1	2	1	43485.82	32163.947	0.0	0.0	51579.875	44594.848	43485.82	32163.947	0.0	0.0	51579.875	44594.848	
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens	1:Experimental evidence at protein level	Pescadillo homolog	1.0	0.9932	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	60182.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens	1:Experimental evidence at protein level	Syntenin-1	0.7411	0.9818	1	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	15134.451	0.0	0.0	0.0	0.0	7626.7114	15134.451	0.0	0.0	0.0	0.0	7626.7114	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 56	1.0	0.999	5	13	13	13	1	1	3	1	4	3	1	1	3	1	4	3	1	1	3	1	4	3	29914.234	29642.232	84674.03	27750.697	52956.168	56196.74	23091.453	22881.49	40957.277	35951.168	48855.55	31090.504	
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0	0.999	6	15	13	18	3	2	3	1	4	2	3	2	2	1	4	1	4	3	3	2	4	2	49155.188	35758.05	47722.242	31184.805	21996.33	47559.773	41552.027	35758.05	33680.26	31184.805	21996.33	37164.56	
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit delta-1	1.0	0.999	8	42	42	42	11	5	9	2	5	10	11	5	9	2	5	10	11	5	9	2	5	10	197120.55	185262.78	231789.94	80153.88	68472.586	169338.14	65569.89	60511.766	59687.02	54709.164	37999.684	46909.41	
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 5	1.0	0.9984	3	10	10	10	3	2	1	1	1	2	3	2	1	1	1	2	3	2	1	1	1	2	106584.18	61280.613	75383.7	66992.734	56386.383	65286.203	79461.2	61280.613	75383.7	66992.734	56386.383	46490.95	
sp|O14757|CHK1_HUMAN	O14757	CHK1_HUMAN	CHEK1	476	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase Chk1	0.9328	0.9962	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	10911.38	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14893|GEMI2_HUMAN	O14893	GEMI2_HUMAN	GEMIN2	280	Homo sapiens	1:Experimental evidence at protein level	Gem-associated protein 2	0.5067	0.9509	1	7	7	7	1	2	2	1	0	1	1	2	2	1	0	1	1	2	2	1	0	1	39323.02	71476.945	42810.21	46334.76	0.0	50148.24	39323.02	71476.945	42810.21	46334.76	0.0	50148.24	
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens	1:Experimental evidence at protein level	Myosin regulatory light chain 12B	1.0	0.999	7	32	0	32	8	3	5	6	5	5	0	0	0	0	0	0	8	3	5	6	5	5	192467.0	71761.72	126146.22	116849.71	144697.8	131503.52	81397.37	48284.133	48173.797	58047.832	72425.9	64194.734	sp|P19105|ML12A_HUMAN
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC1	1.0	0.999	5	40	40	40	5	8	5	6	9	7	5	8	5	6	9	7	5	8	5	6	9	7	244212.66	253763.72	110437.25	205866.12	299447.78	217067.97	120778.805	96028.414	103258.98	91700.61	117613.305	98730.54	
sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	POLR1G	510	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA34	1.0	0.9978	3	5	5	5	1	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	3	35574.87	0.0	0.0	0.0	36386.047	116126.75	31917.816	0.0	0.0	0.0	50381.926	56423.73	
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DHX15	1.0	0.9858	5	9	9	9	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	19610.81	15472.471	22521.127	20411.049	65516.047	23053.064	19610.81	0.0	22521.127	31541.852	29883.06	0.0	
sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	Homo sapiens	1:Experimental evidence at protein level	U4/U6 small nuclear ribonucleoprotein Prp4	0.8899	0.9935	1	3	3	3	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0.0	30592.951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43324|MCA3_HUMAN	O43324	MCA3_HUMAN	EEF1E1	174	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation elongation factor 1 epsilon-1	1.0	0.9988	2	12	12	12	1	1	1	3	3	3	1	1	1	3	3	3	1	1	1	3	3	3	47546.227	33315.28	62257.164	151822.72	277722.88	274014.56	47546.227	33315.28	62257.164	141596.48	238653.16	235016.62	
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R	1.0	0.999	19	96	71	96	0	0	0	18	33	45	0	0	0	11	28	32	0	0	0	18	33	45	0.0	0.0	0.0	906690.5	1726993.2	1691335.4	0.0	0.0	0.0	210827.2	366425.62	364016.44	
sp|O43395|PRPF3_HUMAN	O43395	PRPF3_HUMAN	PRPF3	683	Homo sapiens	1:Experimental evidence at protein level	U4/U6 small nuclear ribonucleoprotein Prp3	0.9995	0.9811	2	13	13	13	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	44441.97	40990.62	43906.273	16518.652	38953.78	16123.815	21537.066	24134.76	21396.887	23301.691	20778.883	22744.723	
sp|O43427|FIBP_HUMAN	O43427	FIBP_HUMAN	FIBP	364	Homo sapiens	1:Experimental evidence at protein level	Acidic fibroblast growth factor intracellular-binding protein	0.9815	0.999	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	30694.443	0.0	44499.35	0.0	0.0	0.0	30694.443	0.0	44499.35	0.0	0.0	0.0	
sp|O43447|PPIH_HUMAN	O43447	PPIH_HUMAN	PPIH	177	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase H	0.9969	0.9621	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	18084.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43548|TGM5_HUMAN	O43548	TGM5_HUMAN	TGM5	720	Homo sapiens	1:Experimental evidence at protein level	Protein-glutamine gamma-glutamyltransferase 5	0.9815	0.999	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30571.176	36249.81	38809.047	25860.367	31603.293	33494.344	30571.176	36249.81	38809.047	25860.367	31603.293	33494.344	
sp|O43660|PLRG1_HUMAN	O43660	PLRG1_HUMAN	PLRG1	514	Homo sapiens	1:Experimental evidence at protein level	Pleiotropic regulator 1	0.9987	0.9591	2	7	7	7	2	3	1	0	1	0	2	3	1	0	1	0	2	3	1	0	1	0	27198.94	51568.008	28848.908	0.0	0.0	0.0	15464.867	30542.623	28848.908	0.0	0.0	0.0	
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	Homo sapiens	1:Experimental evidence at protein level	Mitotic checkpoint protein BUB3	0.4922	0.9481	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	22785.742	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens	1:Experimental evidence at protein level	Alpha-actinin-4	0.9802	0.9989	1	3	0	3	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	9838.761	5205.8457	0.0	0.0	0.0	7001.0474	9838.761	5205.8457	0.0	0.0	0.0	7001.0474	sp|P12814|ACTN1_HUMAN
sp|O43790|KRT86_HUMAN	O43790	KRT86_HUMAN	KRT86	486	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cuticular Hb6	0.9642	0.9796	4	4	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0	1	6	1	1	2	0.0	0.0	114633.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q14533|KRT81_HUMAN
sp|O60244|MED14_HUMAN	O60244	MED14_HUMAN	MED14	1454	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 14	1.0	0.9988	1	8	8	8	1	3	1	0	0	3	1	3	1	0	0	3	1	3	1	0	0	3	32319.58	43528.4	34252.992	0.0	0.0	34149.67	32319.58	24869.578	34252.992	0.0	0.0	34149.67	
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	Homo sapiens	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1.0	0.9989	6	15	9	15	4	2	2	1	3	3	2	1	1	1	3	1	4	2	2	1	3	3	84634.305	46008.367	37083.176	42156.195	28725.895	56552.0	37250.8	31019.47	0.0	42241.89	28784.29	29487.744	
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q	1.0	0.999	15	54	54	79	0	0	0	14	15	25	0	0	0	14	15	25	0	0	0	21	20	38	0.0	0.0	0.0	206589.47	463197.88	702400.6	0.0	0.0	0.0	44720.71	80028.33	110455.3	
sp|O60524|NEMF_HUMAN	O60524	NEMF_HUMAN	NEMF	1076	Homo sapiens	1:Experimental evidence at protein level	Ribosome quality control complex subunit NEMF	1.0	0.999	7	34	34	34	2	4	3	3	7	15	2	4	3	3	7	15	2	4	3	3	7	15	30626.795	59271.047	22135.352	80308.375	126353.1	163706.75	32407.88	42132.215	23422.621	35100.676	28620.459	37773.8	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.999	8	146	0	146	20	13	22	24	29	38	0	0	0	0	0	0	20	13	22	24	29	38	942065.7	608037.25	966938.3	1147204.4	1123902.6	1025955.75	259700.58	205352.1	260748.9	319179.1	299807.34	294650.22	sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	Homo sapiens	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit DKC1	1.0	0.9987	4	10	10	10	1	0	1	0	3	5	1	0	1	0	3	5	1	0	1	0	3	5	20931.914	0.0	18722.367	0.0	44479.125	99040.22	17241.916	0.0	72773.84	0.0	36638.09	41618.21	
sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5B	1.0	0.999	7	26	25	26	5	7	7	1	0	6	5	7	6	1	0	6	5	7	7	1	0	6	153179.66	90312.87	137534.61	20310.28	0.0	138396.34	64218.25	46742.598	56474.27	21686.115	0.0	50256.953	
sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	Homo sapiens	1:Experimental evidence at protein level	Endothelial differentiation-related factor 1	0.9792	0.9989	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	45831.855	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75179|ANR17_HUMAN	O75179	ANR17_HUMAN	ANKRD17	2603	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein 17	0.9986	0.999	3	23	2	23	4	2	3	2	4	8	0	0	0	0	1	1	4	2	3	2	4	8	34906.81	56144.25	60243.594	60400.188	29201.844	61702.22	38376.79	35178.89	36078.57	31427.955	20410.111	28351.725	
sp|O75190|DNJB6_HUMAN	O75190	DNJB6_HUMAN	DNAJB6	326	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily B member 6	0.9682	0.9906	1	4	4	4	0	0	0	0	1	3	0	0	0	0	1	3	0	0	0	0	1	3	0.0	0.0	0.0	0.0	0.0	4520.897	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens	1:Experimental evidence at protein level	Gamma-glutamylcyclotransferase	1.0	0.9982	2	5	5	5	0	0	1	0	0	4	0	0	1	0	0	4	0	0	1	0	0	4	0.0	0.0	23492.393	0.0	0.0	24465.354	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75400|PR40A_HUMAN	O75400	PR40A_HUMAN	PRPF40A	957	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-processing factor 40 homolog A	1.0	0.9907	3	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	55457.727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	Homo sapiens	1:Experimental evidence at protein level	PC4 and SFRS1-interacting protein	1.0	0.999	4	13	11	13	2	2	4	1	2	2	1	2	3	1	2	2	2	2	4	1	2	2	84382.68	54756.305	91909.33	50789.95	49308.848	30791.701	54646.32	54756.305	47027.934	50789.95	49308.848	23831.895	
sp|O75526|RMXL2_HUMAN	O75526	RMXL2_HUMAN	RBMXL2	392	Homo sapiens	1:Experimental evidence at protein level	RNA-binding motif protein, X-linked-like-2	0.7077	0.9786	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	23117.762	0.0	0.0	0.0	0.0	0.0	0.0	sp|P38159|RBMX_HUMAN, sp|Q96E39|RMXL1_HUMAN
sp|O75607|NPM3_HUMAN	O75607	NPM3_HUMAN	NPM3	178	Homo sapiens	1:Experimental evidence at protein level	Nucleoplasmin-3	0.9815	0.999	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31281.574	29138.857	30439.15	36395.152	32132.824	30866.893	31281.574	29138.857	30439.15	36395.152	32132.824	30866.893	
sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	0.6301	0.9698	1	5	5	5	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	27352.96	0.0	13788.71	20559.713	0.0	20422.504	27352.96	0.0	13788.71	20559.713	0.0	20422.504	
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	Homo sapiens	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP] cytoplasmic	0.9425	0.9968	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	6464.958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-splicing factor SPF27	1.0	0.999	2	26	26	26	7	2	4	4	4	5	7	2	4	4	4	5	7	2	4	4	4	5	43573.125	22372.213	36765.992	18279.906	49220.35	52293.0	32812.523	15597.721	26091.934	13521.396	35507.547	23323.914	
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle subunit SRP72	1.0	0.999	15	118	118	118	18	15	17	16	17	35	18	15	17	16	17	35	18	15	17	16	17	35	658918.7	593877.1	551342.06	716584.1	704024.56	840463.2	344462.62	371242.88	326159.84	404034.5	389982.62	404019.06	
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens	1:Experimental evidence at protein level	Metastasis-associated protein MTA2	1.0	0.9828	3	3	3	3	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0.0	116528.66	0.0	0.0	0.0	10053.676	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94900|TOX_HUMAN	O94900	TOX_HUMAN	TOX	526	Homo sapiens	1:Experimental evidence at protein level	Thymocyte selection-associated high mobility group box protein TOX	1.0	0.9973	2	6	4	6	1	0	0	0	3	2	1	0	0	0	2	1	1	0	0	0	3	2	25391.828	0.0	0.0	0.0	35176.44	19146.924	25391.828	0.0	0.0	0.0	35176.44	19146.924	
sp|O95168|NDUB4_HUMAN	O95168	NDUB4_HUMAN	NDUFB4	129	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	0.9382	0.9965	1	3	3	3	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0.0	18227.01	0.0	20088.203	0.0	19912.395	0.0	18227.01	0.0	20088.203	0.0	19912.395	
sp|O95239|KIF4A_HUMAN	O95239	KIF4A_HUMAN	KIF4A	1232	Homo sapiens	1:Experimental evidence at protein level	Chromosome-associated kinesin KIF4A	0.9438	0.9817	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	11538.995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q2VIQ3|KIF4B_HUMAN
sp|O95347|SMC2_HUMAN	O95347	SMC2_HUMAN	SMC2	1197	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein 2	0.9943	0.9616	2	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	0.0	0.0	129720.09	209146.89	0.0	0.0	0.0	0.0	129720.09	209146.89	
sp|O95373|IPO7_HUMAN	O95373	IPO7_HUMAN	IPO7	1038	Homo sapiens	1:Experimental evidence at protein level	Importin-7	0.6579	0.9732	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	19134.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95402|MED26_HUMAN	O95402	MED26_HUMAN	MED26	600	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 26	0.9266	0.9958	1	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	36018.242	39369.17	37842.547	0.0	0.0	0.0	36018.242	39369.17	37842.547	0.0	0.0	0.0	
sp|O95433|AHSA1_HUMAN	O95433	AHSA1_HUMAN	AHSA1	338	Homo sapiens	1:Experimental evidence at protein level	Activator of 90 kDa heat shock protein ATPase homolog 1	0.9998	0.999	2	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	0.0	23332.928	0.0	11391.212	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95487|SC24B_HUMAN	O95487	SC24B_HUMAN	SEC24B	1268	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec24B	0.9687	0.9983	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7550.2075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
